date,ticker,posts,channels
2026-07-09,ADRO,9,4
2026-07-09,ANTM,7,3
2026-07-09,BBRI,10,5
2026-07-09,MDKA,7,3
2026-07-09,RAJA,5,3
2026-07-10,ADRO,11,5
2026-07-10,ANTM,4,4
2026-07-10,BBRI,8,7
2026-07-10,MDKA,8,4
2026-07-10,RAJA,6,3
2026-07-10,WIFI,4,2
2026-07-13,ADRO,10,5
2026-07-13,AMMN,6,3
2026-07-13,ANTM,5,3
2026-07-13,BBRI,12,5
2026-07-13,MDKA,9,4
2026-07-13,RAJA,4,3
2026-07-13,WIFI,5,2
2026-07-14,ADRO,8,4
2026-07-14,AMMN,9,4
2026-07-14,ANTM,7,3
2026-07-14,BBRI,8,6
2026-07-14,MDKA,8,4
2026-07-14,RAJA,5,3
2026-07-14,WIFI,3,2
2026-07-15,ADRO,9,4
2026-07-15,AMMN,9,4
2026-07-15,ANTM,7,3
2026-07-15,BBRI,9,5
2026-07-15,GOTO,10,4
2026-07-15,MDKA,7,3
2026-07-15,RAJA,6,3
2026-07-15,WIFI,4,2
2026-07-16,ADRO,10,5
2026-07-16,AMMN,7,5
2026-07-16,ANTM,4,3
2026-07-16,BBRI,14,7
2026-07-16,GOTO,9,6
2026-07-16,MDKA,6,3
2026-07-16,RAJA,4,3
2026-07-17,ADRO,9,4
2026-07-17,AMMN,8,4
2026-07-17,ANTM,4,4
2026-07-17,BBRI,13,7
2026-07-17,GOTO,10,5
2026-07-17,MDKA,5,2
2026-07-20,ADRO,5,2
2026-07-20,AMMN,9,3
2026-07-20,ANTM,4,3
2026-07-20,BBRI,8,5
2026-07-20,GOTO,12,5
2026-07-20,MDKA,4,2
2026-07-21,ADRO,3,2
2026-07-21,AMMN,5,5
2026-07-21,ANTM,5,3
2026-07-21,BBRI,10,6
2026-07-21,GOTO,9,6
2026-07-21,MDKA,2,2
2026-07-22,ADRO,2,2
2026-07-22,AMMN,8,3
2026-07-22,ANTM,5,3
2026-07-22,BBRI,12,6
2026-07-22,BREN,2,2
2026-07-22,GOTO,9,5
2026-07-22,MDKA,1,2
2026-07-23,ADRO,1,2
2026-07-23,AMMN,7,3
2026-07-23,ANTM,5,4
2026-07-23,BBRI,12,7
2026-07-23,BREN,5,3
2026-07-23,GOTO,8,4
2026-07-23,MDKA,1,2
2026-07-23,PTRO,3,2
2026-07-24,ADRO,1,2
2026-07-24,AMMN,8,4
2026-07-24,ANTM,4,3
2026-07-24,BBRI,8,7
2026-07-24,BREN,13,6
2026-07-24,GOTO,12,4
2026-07-24,MDKA,2,2
2026-07-24,PTRO,9,5
